"contrast","estimate","SE","df","t.ratio","p.value","Estimate_Boot","SE_Boot","CI_lower_Boot","CI_upper_Boot"
"exponential - generalizedgamma",26.7602265633095,2.20729797082917,812.313401278329,12.1235224772381,3.27799826660997e-30,30.9464661142315,2.64443167076344,25.8589359362262,36.1257997596231
"exponential - gompertz_survival",30.9175403639039,2.14565768068471,810.866086802074,14.4093536644846,4.45325684361907e-41,33.9507644594782,2.72198147535474,29.0260073826158,39.5030188900092
"exponential - loglogistic",29.2826003825929,2.14565768068471,810.866086802074,13.6473775132892,2.52752457920798e-37,29.3910082505244,2.84412741119564,23.8261802398233,35.1608445147463
"exponential - weibull",33.845437761501,2.14565768068471,810.866086802074,15.7739224043886,4.34615966800139e-48,26.7417562649239,2.86108795238452,21.2485668228109,32.5161025378138
"generalizedgamma - gompertz_survival",4.15731380059435,2.2079549167093,811.541680979158,1.88287984013294,0.600741173912011,3.00429834524664,1.7347282575464,-0.372894669984683,6.49402927322854
"generalizedgamma - loglogistic",2.52237381928337,2.2079549167093,811.541680979158,1.1424027728984,1,-1.55545786370711,2.02681565519444,-5.4280461346891,2.47640130931855
"generalizedgamma - weibull",7.08521119819146,2.2079549167093,811.541680979158,3.20894740403085,0.0138454712241674,-4.20470984930765,1.82981263553412,-7.8358098166082,-0.724095930477494
"gompertz_survival - loglogistic",-1.63493998131098,2.14633349339647,810.049679095988,-0.761736228941647,1,-4.55975620895376,1.97804312835893,-8.36574263415585,-1.02838603101165
"gompertz_survival - weibull",2.92789739759711,2.14633349339647,810.049679095988,1.36413908025255,1,-7.20900819455429,1.85516089533182,-10.985441550142,-3.79294231298878
"loglogistic - weibull",4.56283737890809,2.14633349339647,810.049679095988,2.1258753091942,0.338155459656071,-2.64925198560054,2.08526329612384,-6.52740913865046,1.5852014807203
