"Dataset","Model","AICc","lambda","k","a","b","alpha","beta","gamma","LT50","Log_MT_Linearity","Num_Obs"
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DRM7FWM.csv","exponential",-0.353603706059078,1.70740049671536,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","weibull",4.3788689328806,0.595438607997609,1.90031931262399,NA,NA,NA,NA,NA,NA,NA,6
"2DRM7FWM.csv","gompertz_survival",1.26868244453663,NA,NA,0.606968957916835,2.81881186877031,NA,NA,NA,0.510713518564827,NA,6
"2DRM7FWM.csv","gompertz_survival_rawtime",0.760160654208057,NA,NA,0.000849303421741485,0.0291975299292506,NA,NA,NA,110.009946114499,NA,6
"2DRM7FWM.csv","loglogistic",7.29898200369873,NA,NA,NA,NA,0.480968246277072,2.87252763551851,NA,NA,NA,6
"2DRM7FWM.csv","generalizedgamma",33.0095070387919,NA,NA,NA,NA,2.42108180435034,0.921042566984346,1.37743180824667,NA,NA,6
"2DVV3DN4_1.csv","exponential",4.18096674919672,1.74141924878677,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_1.csv","weibull",-2.283873614445,0.636180399314448,4.18406687787243,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_1.csv","gompertz_survival",-2.81885875286334,NA,NA,0.0987107501873508,6.53819047385086,NA,NA,NA,0.588581246891125,NA,6
"2DVV3DN4_1.csv","gompertz_survival_rawtime",-2.81885875107508,NA,NA,0.000410478278456011,0.0271877153435982,NA,NA,NA,141.543061130004,NA,6
"2DVV3DN4_1.csv","loglogistic",0.129438506953814,NA,NA,NA,NA,0.573199013422324,6.55863001550501,NA,NA,NA,6
"2DVV3DN4_1.csv","generalizedgamma",27.2928756031314,NA,NA,NA,NA,1.35251350001509,0.686631551671875,3.46579532640208,NA,NA,6
"2DVV3DN4_1.csv","exponential",4.18096674919672,1.74141924878677,NA,NA,NA,NA,NA,NA,NA,NA,6
