Acanthopagrus schlegelii
Poecilia reticulata
Anopheles arabiensis
Apis mellifera macedonica
Arctostaphylos glauca
Bos taurus
Caenorhabditis elegans
Camnula pellucida
Cavia porcellus
Danio rerio
Drosophila melanogaster
Drosophila ananassae
Drosophila euronotus
Drosophila flavomontana
Drosophila mauritiana
Drosophila prosaltans
Drosophila santomea
Drosophila simulans
Drosophila subobscura
Drosophila tropicalis
Hirtodrosophila duncani
Zaprionus taronus
Galleria mellonella
Gallus gallus domesticus
Litopenaeus vannamei
Macaca fascicularis
Macaca mulatta
Macrobrachium nipponense
Meccus pallidipennis
Melanoplus borealis
Micropterus salmoides
Mus musculus
Oreochromis niloticus
Penicillidia conspicua
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Oryctolagus cuniculus
Paralichthys olivaceus
Pisaster ochraceus
Procambarus clarkii
Silurus glanis
Nile tilapia
Cucurbita pepo
Drosophila suzukii
Daphnia magna
