Salmonella enterica
Human alphaherpesvirus 1
Ichthyophthirius multifiliis
Burkholderia thailandensis
Marburgvirus
Serratia marcescens
Salmonid novirhabdovirus
Novirhabdovirus piscine
Hirame novirhabdovirus
Klebsiella aerogenes
Clostridium sordellii 
Porcine encephalomyocarditis
Neospora caninum
Leishmania donovani
Orthohantavirus hantanense
Entomophaga grylli 
Staphylococcus aureus
Renibacterium salmoninarum 
White spot syndrome virus 
Streptococcus pyogenes
Pseudomonas aeruginosa
Aspergillus flavus
Beauveria bassiana
Orthobunyavirus jamestownense
Ervinia tracheiphila
Bacillus anthracis
Candida albicans
Aspergillus fumigatus
Clostridioides difficile
Candida krusei
Candida orthopsilosis
Candida metapsilosis
Saprolegnia parasitica
Metarhizium anisopliae
Alphainfluenzavirus influenzae
Corynebacterium striatum
White spot syndrome virus
Neofusicoccum australe
Cunninghamella bertholletiae
Catfish iridovirus
Orthoflavivirus encephalitidis
Mycobacterium tuberculosis
Junin mammarenavirus
Largemouth bass virus
Trypanosoma cruzi
Coxsackievirus A10
Tetrahymena thermophila
Staphylococcus aureus 
Toxoplasma gondii
Cripavirus drosophilae
Naegleria
Deer tick virus 
Entomophaga grylli
Staphylococcus coagulans
Diaporte
Burkholderia cenocepacia
Burkholderia cepacia
Arthrorhynchus nycteribiae 
Zaire ebolavirus
Pasteuria ramosa
