"Full_key","Key","Time","Survival","Time_hours","Time_std","Survival_corrected","Standardized_Survival","Host","Pathogen","Host_taxa","Host_other","Pathogen_taxa","Pathogen_other","Max_num_host","Data"
"2DRM7FWM.csv","2DRM7FWM",1.8,99.9,43.2,0.257142857142857,99.9,1,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",2.9,72.6,69.6,0.414285714285714,72.6,0.726726726726727,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",3.9,72.1,93.6,0.557142857142857,72.1,0.721721721721722,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",4.9,39.2,117.6,0.7,39.2,0.392392392392392,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",6,16.6,144,0.857142857142857,16.6,0.166166166166166,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",7,0,168,1,0,0,"CD154neg/neg mice on the C57BL/6 background 8 –12 wk of age","Salmonella enterica BRD509 ","Vertebrates","Mice","Bacteria","Gram-negative bacteria","5","raw"
"2DVV3DN4_1.csv","2DVV3DN4",0,99.9,0,0,99.9,1,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",4.9,73.6,117.6,0.49,73.6,0.718415417558886,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",5.9,46.8,141.6,0.59,46.8,0.431477516059957,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",7,33.5,168,0.7,33.5,0.289079229122056,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",8.1,6.5,194.4,0.81,6.5,0,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",10,6.5,240,1,6.5,0,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",0,100,0,0,100,1,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",4.9,93.8,117.6,0.49,93.8,0.934042553191489,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",6,33.5,144,0.6,33.5,0.292553191489362,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",7,13.4,168,0.7,13.4,0.0787234042553192,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",8,6,192,0.8,6,0,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",10,6.5,240,1,6.5,0.00531914893617021,"Four week-old Balb/c mice","Herpes Simplex Viruses","Vertebrates","Mice","Viruses","DNA virus","15","probability"
"2JL6JPJI_1.csv","2JL6JPJI",18,0.4,432,0.837209302325581,99.2,0.996972754793138,"Rainbow trout 8 g body mean weight, 9 cm mean body length","Ichthyophthirius multifiliis","Vertebrates","Fish","Eukaryotes","Protozoan parasite","44","raw"
